State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,3,415,382-4657,no,yes,25,3.0,2,45.07,2.0,2,16.78,3.0,2,11.01,2.0,2,2.7,1,False.
OH,2,415,371-7191,no,yes,26,2.0,3,27.47,2.0,2,16.62,3.0,2,11.45,3.0,2,3.7,1,False.
OH,2,408,375-9999,yes,no,0,3.0,1,50.9,1.0,2,5.26,2.0,2,8.86,1.0,3,1.78,2,False.
OK,2,415,330-6626,yes,no,0,2.0,2,28.34,1.0,3,12.61,2.0,3,8.41,2.0,2,2.73,3,False.
AL,2,510,391-8027,yes,no,0,3.0,2,37.98,2.0,2,18.75,2.0,3,9.18,1.0,3,1.7,0,False.
MA,2,510,355-9993,no,yes,24,3.0,2,37.09,3.0,2,29.62,2.0,3,9.57,1.0,3,2.03,3,False.
MO,3,415,329-9001,yes,no,0,2.0,1,26.69,1.0,2,8.76,2.0,2,9.53,1.0,3,1.92,0,False.
WV,3,415,330-8173,yes,yes,37,3.0,1,43.96,2.0,2,18.87,3.0,2,14.69,2.0,2,3.02,0,False.
ID,2,408,350-8884,no,yes,27,2.0,3,33.39,3.0,2,23.88,1.0,1,4.02,3.0,2,3.73,1,False.
VA,2,510,356-2992,no,yes,33,2.0,1,32.25,2.0,1,18.09,1.0,2,7.46,2.0,2,2.7,1,False.
WY,1,408,357-3817,no,yes,39,2.0,3,36.21,2.0,2,16.24,2.0,3,8.22,2.0,2,2.57,0,False.
OK,1,408,395-2854,no,yes,25,2.0,2,30.06,2.0,1,16.58,2.0,3,9.61,1.0,2,2.24,0,False.
GA,1,415,362-1407,no,yes,37,3.0,1,37.4,2.0,2,18.47,1.0,1,6.88,3.0,3,3.97,3,False.
AK,1,408,341-9764,no,yes,30,2.0,3,24.87,1.0,1,13.81,1.0,2,5.82,3.0,3,3.92,0,False.
AK,3,415,402-1381,yes,yes,33,2.0,2,34.66,2.0,2,15.95,1.0,2,4.58,2.0,3,2.84,3,False.
MD,3,408,383-6029,yes,yes,41,2.0,1,29.43,2.0,2,17.33,1.0,1,5.5,3.0,3,3.94,0,True.
OR,1,408,353-3061,no,yes,28,1.0,2,20.55,2.0,2,18.11,1.0,3,7.34,2.0,2,2.3,2,False.
WY,2,415,405-7146,no,yes,24,1.0,3,22.64,2.0,1,18.46,1.0,1,3.18,2.0,2,2.97,1,False.
CO,2,408,370-7574,no,yes,30,2.0,3,33.73,1.0,1,6.4,2.0,1,8.15,1.0,2,1.57,3,True.
CA,2,415,405-3371,no,yes,34,3.0,1,45.66,2.0,3,15.15,1.0,2,7.48,2.0,2,3.13,2,False.
MN,2,510,344-5117,no,yes,33,2.0,2,32.93,3.0,2,20.92,1.0,2,6.21,3.0,2,3.94,2,False.
SD,3,408,332-8160,no,yes,28,2.0,2,30.72,2.0,1,15.96,3.0,1,11.95,3.0,2,3.4,3,False.
WA,1,415,352-8305,no,yes,41,2.0,1,25.18,2.0,2,14.41,2.0,2,9.63,1.0,2,1.67,2,False.
WY,1,415,329-9847,yes,no,0,3.0,2,42.76,2.0,2,18.09,1.0,1,7.1,2.0,2,2.51,0,False.
MN,2,408,365-9011,yes,no,0,1.0,2,21.28,2.0,3,17.54,1.0,3,5.82,1.0,3,2.24,0,False.
MN,3,510,413-7170,no,yes,46,3.0,2,38.23,2.0,1,16.0,3.0,1,11.46,3.0,1,3.27,0,False.
OR,2,415,331-7425,yes,no,0,2.0,2,36.62,2.0,1,17.41,3.0,2,12.53,3.0,2,3.4,3,False.
CO,1,408,419-2637,no,yes,25,2.0,3,28.15,1.0,2,11.57,2.0,2,7.91,2.0,1,2.97,3,False.
GA,1,415,411-1530,no,yes,24,3.0,2,42.42,3.0,2,22.07,2.0,1,10.02,2.0,2,2.65,1,False.
