State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
KS,3,415,382-4657,no,yes,25,3.0,2,45.07,2.0,2,16.78,3.0,2,11.01,2.0,2,2.7,1,False.
OH,2,415,371-7191,no,yes,26,2.0,3,27.47,2.0,2,16.62,3.0,2,11.45,3.0,2,3.7,1,False.
NJ,3,415,358-1921,no,no,0,3.0,3,41.38,1.0,2,10.3,1.0,2,7.32,3.0,2,3.29,0,False.
OH,2,408,375-9999,yes,no,0,3.0,1,50.9,1.0,2,5.26,2.0,2,8.86,1.0,3,1.78,2,False.
OK,2,415,330-6626,yes,no,0,2.0,2,28.34,1.0,3,12.61,2.0,3,8.41,2.0,2,2.73,3,False.
AL,2,510,391-8027,yes,no,0,3.0,2,37.98,2.0,2,18.75,2.0,3,9.18,1.0,3,1.7,0,False.
MA,2,510,355-9993,no,yes,24,3.0,2,37.09,3.0,2,29.62,2.0,3,9.57,1.0,3,2.03,3,False.
MO,3,415,329-9001,yes,no,0,2.0,1,26.69,1.0,2,8.76,2.0,2,9.53,1.0,3,1.92,0,False.
LA,2,408,335-4719,no,no,0,2.0,2,31.37,3.0,1,29.89,2.0,2,9.71,2.0,2,2.35,1,False.
WV,3,415,330-8173,yes,yes,37,3.0,1,43.96,2.0,2,18.87,3.0,2,14.69,2.0,2,3.02,0,False.
IN,1,415,329-6603,no,no,0,1.0,3,21.95,2.0,1,19.42,2.0,2,9.4,3.0,3,3.43,4,True.
RI,2,415,344-9403,no,no,0,2.0,3,31.91,1.0,3,13.89,2.0,2,8.82,2.0,2,2.46,0,False.
IA,3,408,363-1107,no,no,0,1.0,2,21.9,1.0,1,8.92,1.0,3,6.35,2.0,1,3.02,1,False.
MT,2,510,394-8006,no,no,0,2.0,2,26.62,3.0,1,21.05,2.0,3,8.65,3.0,2,3.32,3,False.
IA,1,415,366-9238,no,no,0,1.0,1,20.52,3.0,1,26.11,2.0,2,9.14,3.0,3,3.54,4,False.
NY,3,415,351-7269,no,no,0,3.0,1,56.59,3.0,2,27.01,1.0,3,7.23,1.0,3,1.46,4,True.
ID,2,408,350-8884,no,yes,27,2.0,3,33.39,3.0,2,23.88,1.0,1,4.02,3.0,2,3.73,1,False.
VT,2,510,386-2923,no,no,0,2.0,3,32.42,2.0,2,18.55,1.0,3,5.83,1.0,2,2.19,3,False.
VA,2,510,356-2992,no,yes,33,2.0,1,32.25,2.0,1,18.09,1.0,2,7.46,2.0,2,2.7,1,False.
TX,1,415,373-2782,no,no,0,3.0,2,38.15,1.0,2,13.56,2.0,1,8.68,3.0,1,3.51,1,False.
FL,3,415,396-5800,no,no,0,2.0,3,26.37,3.0,2,20.37,2.0,3,9.4,2.0,2,2.86,0,False.
CO,2,408,393-7984,no,no,0,1.0,2,10.61,2.0,3,14.44,2.0,1,9.43,1.0,3,1.54,5,True.
AZ,3,415,358-1958,no,no,0,2.0,2,31.11,1.0,2,6.2,2.0,1,8.18,2.0,3,2.57,0,False.
SC,2,415,350-2565,no,no,0,1.0,2,18.77,1.0,2,11.67,2.0,2,8.53,1.0,3,2.08,2,False.
VA,3,510,343-4696,no,no,0,1.0,1,13.79,3.0,1,20.84,3.0,3,10.67,2.0,1,2.78,0,False.
NE,3,415,331-3698,no,no,0,1.0,1,21.13,3.0,2,23.55,3.0,3,11.28,3.0,2,4.19,3,False.
WY,1,408,357-3817,no,yes,39,2.0,3,36.21,2.0,2,16.24,2.0,3,8.22,2.0,2,2.57,0,False.
MT,1,408,418-6412,no,no,0,1.0,1,22.83,1.0,2,13.22,1.0,1,4.59,3.0,2,3.97,3,False.
MO,1,415,353-2630,no,no,0,2.0,2,32.3,3.0,1,21.95,2.0,2,8.17,1.0,3,1.7,0,False.
